ASN,Operator,Tested Prefixes,Spoofing Prefixes
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=35244"" target=""_blank"" style=""color: 159124;"">35244 (KMS-DE_AS)</a>",Kabelfernsehen Muenchen ServiCenter GmbH & Co.KG,6,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12816"" target=""_blank"" style=""color: 159124;"">12816 (MWN-AS)</a>",Leibniz-Rechenzentrum,2,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=51167"" target=""_blank"" style=""color: 159124;"">51167 (CONTABO)</a>",Contabo GmbH,4,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=16509"" target=""_blank"" style=""color: 159124;"">16509 (AMAZON-02)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=42652"" target=""_blank"" style=""color: 159124;"">42652 (DELUNET)</a>",inexio Informationstechnologie und Telekommunikati,11,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=39138"" target=""_blank"" style=""color: f7602a;"">39138 (OPENAP-WIRELESS-NETWORKS-AS)</a>",rrbone UG (haftungsbeschraenkt),1,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=6939"" target=""_blank"" style=""color: 159124;"">6939 (HURRICANE)</a>",n.a.,11,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8767"" target=""_blank"" style=""color: 159124;"">8767 (MNET-AS)</a>",M-net Telekommunikations GmbH,7,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=21413"" target=""_blank"" style=""color: 159124;"">21413 (ENVIA-TEL-AS)</a>",Envia Tel GmbH,16,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12502"" target=""_blank"" style=""color: f7602a;"">12502 (NEPUSTILNET-AS01)</a>",Dr.-Ing. Nepustil & Co. GmbH,2,2
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=25291"" target=""_blank"" style=""color: 159124;"">25291 (SysEleven)</a>",SysEleven GmbH,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=9009"" target=""_blank"" style=""color: 159124;"">9009 (M247)</a>",n.a.,4,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=201701"" target=""_blank"" style=""color: 159124;"">201701 (FFRL-AS)</a>",Freifunk Rheinland e.V.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=31400"" target=""_blank"" style=""color: 159124;"">31400 (ACCELERATED-IT)</a>",Accelerated IT Services GmbH,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=12222"" target=""_blank"" style=""color: 159124;"">12222 (AKAMAI)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=8893"" target=""_blank"" style=""color: f7602a;"">8893 (ARTFILES-AS)</a>",Artfiles New Media GmbH,1,1
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=20473"" target=""_blank"" style=""color: 159124;"">20473 (AS-CHOOPA)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=61317"" target=""_blank"" style=""color: 159124;"">61317 (ASDETUK)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=2857"" target=""_blank"" style=""color: 159124;"">2857 (RLP-NET)</a>",Johannes Gutenberg-Universitaet Mainz,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=1273"" target=""_blank"" style=""color: 159124;"">1273 (CW)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=9145"" target=""_blank"" style=""color: 159124;"">9145 (EWETEL)</a>",EWE TEL GmbH,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=48910"" target=""_blank"" style=""color: 159124;"">48910 (INAP-FRA)</a>",n.a.,1,0
"<a href=""https://spoofer.caida.org/recent_tests.php?as_include=5501"" target=""_blank"" style=""color: 159124;"">5501 (Fraunhofer-Cluster-BW)</a>",Fraunhofer-Gesellschaft zur Foerderung der angewan,1,0
